related_symbols	approved_gene_symbol	entrez_gene_ID	ensembl_gene_ID	phenotypes	inheritance_patterns	full_phenotypes	full_inheritance_patterns	haploinsufficient
A1BG	A1BG	1	ENSG00000121410					
A1CF	A1CF	29974	ENSG00000148584					
ASP	A1CF	29974	ENSG00000148584					
A2M	A2M	2	ENSG00000175899					
A2ML1	A2ML1	144568	ENSG00000166535			"{Otitis media, susceptibility to}, 166760 (3), Autosomal dominant"	AD	
OMS	A2ML1	144568	ENSG00000166535			"{Otitis media, susceptibility to}, 166760 (3), Autosomal dominant"	AD	
A3GALT2	A3GALT2	127550	ENSG00000184389					
IGB3S	A3GALT2	127550	ENSG00000184389					
A4GALT	A4GALT	53947	ENSG00000128274	"[Blood group, P1Pk system, P(2) phenotype], 111400 (3); NOR polyagglutination syndrome, 111400 (3); [Blood group, P1Pk system, p phenotype], 111400 (3)"		"[Blood group, P1Pk system, P(2) phenotype], 111400 (3); NOR polyagglutination syndrome, 111400 (3); [Blood group, P1Pk system, p phenotype], 111400 (3)"		
P1PK	A4GALT	53947	ENSG00000128274	"[Blood group, P1Pk system, P(2) phenotype], 111400 (3); NOR polyagglutination syndrome, 111400 (3); [Blood group, P1Pk system, p phenotype], 111400 (3)"		"[Blood group, P1Pk system, P(2) phenotype], 111400 (3); NOR polyagglutination syndrome, 111400 (3); [Blood group, P1Pk system, p phenotype], 111400 (3)"		
A4GNT	A4GNT	51146	ENSG00000118017					
AAA	AAAS	8086	ENSG00000094914	"Achalasia-addisonianism-alacrimia syndrome, 231550 (3), Autosomal recessive"	AR	"Achalasia-addisonianism-alacrimia syndrome, 231550 (3), Autosomal recessive"	AR	
AAAS	AAAS	8086	ENSG00000094914	"Achalasia-addisonianism-alacrimia syndrome, 231550 (3), Autosomal recessive"	AR	"Achalasia-addisonianism-alacrimia syndrome, 231550 (3), Autosomal recessive"	AR	
AACS	AACS	65985	ENSG00000081760					
ACSF1	AACS	65985	ENSG00000081760					
AADAC	AADAC	13	ENSG00000114771					
DAC	AADAC	13	ENSG00000114771					
AADAT	AADAT	51166	ENSG00000109576					
KAT2	AADAT	51166	ENSG00000109576					
AAGAB	AAGAB	79719	ENSG00000103591	"Keratoderma, palmoplantar, punctate type IA, 148600 (3), Autosomal dominant"	AD	"Keratoderma, palmoplantar, punctate type IA, 148600 (3), Autosomal dominant"	AD	TRUE
KPPP1	AAGAB	79719	ENSG00000103591	"Keratoderma, palmoplantar, punctate type IA, 148600 (3), Autosomal dominant"	AD	"Keratoderma, palmoplantar, punctate type IA, 148600 (3), Autosomal dominant"	AD	TRUE
p34	AAGAB	79719	ENSG00000103591	"Keratoderma, palmoplantar, punctate type IA, 148600 (3), Autosomal dominant"	AD	"Keratoderma, palmoplantar, punctate type IA, 148600 (3), Autosomal dominant"	AD	TRUE
PPKP1	AAGAB	79719	ENSG00000103591	"Keratoderma, palmoplantar, punctate type IA, 148600 (3), Autosomal dominant"	AD	"Keratoderma, palmoplantar, punctate type IA, 148600 (3), Autosomal dominant"	AD	TRUE
PPKP1A	AAGAB	79719	ENSG00000103591	"Keratoderma, palmoplantar, punctate type IA, 148600 (3), Autosomal dominant"	AD	"Keratoderma, palmoplantar, punctate type IA, 148600 (3), Autosomal dominant"	AD	TRUE
AAK1	AAK1	22848	ENSG00000115977					
KIAA1048	AAK1	22848	ENSG00000115977					
AAMDC	AAMDC	28971	ENSG00000087884					
AAMP	AAMP	14	ENSG00000127837					
AANAT	AANAT	15	ENSG00000129673					
SNAT	AANAT	15	ENSG00000129673					
AAR2	AAR2	25980	ENSG00000131043					
C20orf4	AAR2	25980	ENSG00000131043					
AARD	AARD	441376	ENSG00000205002					
AARS	AARS1	16	ENSG00000090861	"Developmental and epileptic encephalopathy 29, 616339 (3), Autosomal recessive; Charcot-Marie-Tooth disease, axonal, type 2N, 613287 (3), Autosomal dominant; ?Leukoencephalopathy, hereditary diffuse, with spheroids 2, 619661 (3), Autosomal dominant; Trichothiodystrophy 8, nonphotosensitive, 619691 (3), Autosomal recessive"	"AD,AR"	"Developmental and epileptic encephalopathy 29, 616339 (3), Autosomal recessive; Charcot-Marie-Tooth disease, axonal, type 2N, 613287 (3), Autosomal dominant; ?Leukoencephalopathy, hereditary diffuse, with spheroids 2, 619661 (3), Autosomal dominant; Trichothiodystrophy 8, nonphotosensitive, 619691 (3), Autosomal recessive"	"AD,AR"	
